Stock,Entry_Point,Entry_Price,Stop_Loss,Target_Price,Target_Candle_Time,Target_Candle_Open,Target_Candle_Type,Direction
ABLBL,2025-09-24 09:40:00,139.52,140.27,138.77,2025-09-24 09:35:00,139.52,GREEN,SELL
CONCOR,2025-09-24 09:40:00,538.5,540.5,536.5,2025-09-24 09:55:00,538.5,GREEN,SELL
EPACK,2025-09-24 09:40:00,369.8,367.9,371.70000000000005,2025-09-24 09:40:00,369.8,RED,BUY
EXICOM,2025-09-24 09:35:00,154.17,155.28,153.05999999999997,2025-09-24 09:30:00,154.17,GREEN,SELL
HINDALCO,2025-09-24 09:45:00,743.85,745.2,742.5,2025-09-24 09:55:00,743.85,GREEN,SELL
IRCTC,2025-09-24 09:35:00,719.0,720.25,717.75,2025-09-24 09:35:00,719.0,GREEN,SELL
LICI,2025-09-24 10:00:00,895.5,897.3,893.7,2025-09-24 09:55:00,895.5,GREEN,SELL
RPTECH,2025-09-24 09:35:00,337.35,335.75,338.95000000000005,2025-09-24 09:45:00,337.35,RED,BUY
SBISILVER,2025-09-24 09:35:00,132.88,133.45,132.31,2025-09-24 09:35:00,132.88,GREEN,SELL
TITAGARH,2025-09-24 09:35:00,915.7,918.5,912.9000000000001,2025-09-24 09:35:00,915.7,GREEN,SELL
VINCOFE,2025-09-24 09:40:00,148.88,149.89,147.87,2025-09-24 09:55:00,148.88,GREEN,SELL
