stock_name,scanned_time,source
BANDHANBNK,2025-09-26 05:19:06,chartink_screener
BEL,2025-09-26 05:19:06,chartink_screener
BPCL,2025-09-26 05:19:06,chartink_screener
CGCL,2025-09-26 05:19:06,chartink_screener
GICRE,2025-09-26 05:19:06,chartink_screener
HINDALCO,2025-09-26 05:19:06,chartink_screener
HINDPETRO,2025-09-26 05:19:06,chartink_screener
INDIASHLTR,2025-09-26 05:19:06,chartink_screener
IRMENERGY,2025-09-26 05:19:06,chartink_screener
LTF,2025-09-26 05:19:06,chartink_screener
NYKAA,2025-09-26 05:19:06,chartink_screener
PFOCUS,2025-09-26 05:19:06,chartink_screener
VMM,2025-09-26 05:19:06,chartink_screener
ZYDUSLIFE,2025-09-26 05:19:06,chartink_screener
COMSYN,2025-09-26 18:40:32,chartink_screener
ELLEN,2025-09-26 18:40:32,chartink_screener
KOTHARIPET,2025-09-26 18:40:32,chartink_screener
MEIL,2025-09-26 18:40:32,chartink_screener
MIDCAP,2025-09-26 18:40:32,chartink_screener
PRIMESECU,2025-09-26 18:40:32,chartink_screener
PURVA,2025-09-26 18:40:32,chartink_screener
SAREGAMA,2025-09-26 18:40:32,chartink_screener
SATIN,2025-09-26 18:40:32,chartink_screener
SPLPETRO,2025-09-26 18:40:32,chartink_screener
