Symbol,BuyPrice,EntryTime,StopLoss,Target,Status,ExitPrice,ExitTime,ExitOrderId
AEGISVOPAK-EQ,274.0,2025-10-10 09:50:29,272.63,278.5,TARGET_HIT,278.75,2025-10-10 09:54:12,25101000098713.0
CARYSIL-EQ,929.97,2025-10-10 10:00:11,921.1,935.22,ACTIVE,,,
CAMPUS-EQ,281.0,2025-10-10 10:14:11,278.5,285.95,ACTIVE,,,
MODIRUBBER-EQ,136.9,2025-10-10 10:55:12,132.34,138.27,TARGET_HIT,139.7,2025-10-10 10:56:33,25101000182944.0
LATENTVIEW-EQ,435.36,2025-10-10 11:27:10,433.5,437.91,TARGET_HIT,438.2,2025-10-10 11:51:43,25101000242189.0
SUPRIYA-EQ,735.99,2025-10-10 12:15:14,734.2,738.24,TARGET_HIT,738.3,2025-10-10 12:32:56,25101000278511.0
MOM50-EQ,262.62,2025-10-10 12:55:11,261.88,265.25,SL_HIT,261.85,2025-10-10 13:28:09,25101000329866.0
MOM50-EQ,262.65,2025-10-10 13:50:12,261.88,265.28,SL_HIT,261.88,2025-10-10 14:34:33,25101000390077.0
GICRE-EQ,382.25,2025-10-10 14:50:10,380.95,382.55,TARGET_HIT,382.6,2025-10-10 14:51:59,25101000405573
GUJTHEM-EQ,421.0,2025-10-10 15:15:13,420.45,424.0,ACTIVE,,,
