Timestamp,Symbol,Token,IsNonZero,NetQty,BuyQty,SellQty,BuyPrice,SellPrice,Product,Strategy,LTP,MTM,PnL,RawMTM,SourceFile,Date
2025-09-24 21:34:01,ABLBL-EQ,,No,0,10,10,140.27,139.68,I,,135.89,0.0,-5.9,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-24 21:34:01,CONCOR-EQ,,No,0,10,10,540.5,539.52,I,,530.8,0.0,-9.75,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-24 21:34:01,EPACK-EQ,,No,0,10,10,370.45,367.9,I,,366.0,0.0,-25.5,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-24 21:34:01,EXICOM-EQ,,No,0,10,10,150.82,154.51,I,,150.87,0.0,36.93,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-24 21:34:01,HINDALCO-EQ,,No,0,10,10,745.2,745.85,I,,741.05,0.0,6.5,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-24 21:34:01,ACI-EQ,,No,0,20,20,714.21,707.6,I,,707.95,0.0,-132.1,0.0,2025-09-24_positions.csv,2025-09-24
2025-09-25 21:20:12,SANDHAR-EQ,,No,0,10,10,472.5,471.62,I,,463.75,0.0,-8.75,0.0,2025-09-25_positions.csv,2025-09-25
2025-09-25 21:20:12,APTUS-EQ,,No,0,10,10,319.9,319.2,I,,316.65,0.0,-7.0,0.0,2025-09-25_positions.csv,2025-09-25
2025-09-25 21:20:12,COMSYN-EQ,,No,0,10,10,154.27,157.0,I,,157.09,0.0,27.31,0.0,2025-09-25_positions.csv,2025-09-25
2025-09-25 21:20:12,SOLARA-EQ,,No,0,30,30,702.23,680.25,I,,672.4,0.0,-659.2,0.0,2025-09-25_positions.csv,2025-09-25
2025-09-26 23:14:06,IITL-EQ,,No,0,25,25,189.9,189.65,I,,189.81,0.0,-6.15,0.0,2025-09-26_positions.csv,2025-09-26
2025-09-27 02:34:11,IITL-EQ,,No,0,25,25,189.9,189.65,I,,189.81,0.0,-6.15,0.0,2025-09-27_positions.csv,2025-09-27
